What is a language service in the context of Visual Studio Code?,A language service is a library that implements programmatic language features for a single language in Visual Studio Code.
What is the role of a language server in handling embedded languages?,A language server can embed language services to handle embedded languages in Visual Studio Code.
What is the functionality of the built-in html-language-features extension in Visual Studio Code?,The built-in html-language-features extension in Visual Studio Code includes an HTML Language Server to offer programmatic language features for HTML.
How does the HTML language server in Visual Studio Code analyze an HTML document?,The HTML language server in Visual Studio Code analyzes an HTML document by breaking it down into language regions and using the corresponding language service to handle language server requests.
What is the purpose of the Language Services sample in Visual Studio Code?,"The Language Services sample in Visual Studio Code is a simplified version of the HTML language server that implements auto-completion for HTML and CSS, and diagnostic errors for CSS."
What is the purpose of `vscode-css-languageservice` in the server code?,`vscode-css-languageservice` is used to analyze the given document and compute a list of completion items for CSS language.
What is the input for `cssLanguageService.parseStylesheet()` method?,The input for `cssLanguageService.parseStylesheet()` method is the embedded CSS document with all non-CSS code replaced with whitespace.
What is the role of `getCSSMode` function in the server code?,`getCSSMode` function is responsible for handling all language server requests that fall into CSS regions.
What is the challenge in including language services written in a different language than the language server?,"It can be challenging to include language services that are not written in the same language as the language server, as it may require additional effort for integration."
How does request forwarding solve the problem of continuously updating language services?,Request forwarding solves the problem by sending the request back to VS Code to use extensions that are active and have registered a completion provider for the embedded language. This allows the language server to get the latest language support without having to update its code.
What is the challenge in implementing formatting across language regions?,The challenge is handling indentation and formatter settings for multiple regions inside the single document.
Why is renaming challenging in cross-language regions?,It can be difficult to make renaming work across different regions within different documents.
Why does TypeScript not offer full JavaScript support inside HTML documents?,It's hard to inform TypeScript of the project's state when including external libraries.
What should be done for language services with different encoding or escaping rules?,"If the embedded language has different encoding, the language server should escape special characters accordingly."
Which approach is recommended for building a language server?,"Embedding language services is recommended for more control over the user experience, and the server is reusable for any LSP-compliant editors."
