Apply custom editor labels?,"You can customize the display label for editor tabs and the Open editors view by adding entries under the workbench.editor.customLabels.patterns setting, which includes a glob pattern that matches file paths and a template that defines the new name for the editor tab."
Locked scrolling feature?,Locked scrolling feature allows you to compare editors side-by-side with synchronized scrolling.
Extension update improvements?,Extension update improvements include the ability to restart extensions without reload and update extensions with VS Code releases.
Test Coverage API feature?,Test Coverage API feature provides native code coverage support in VS Code.
Python auto-detect improvements?,"Python auto-detect improvements include detecting startup files for Flask & Django, and discovering Hatch environments."
Enable custom labels?,Use the `workbench.editor.customLabels.enabled` setting to enable or disable custom labels.
Locked scrolling video?,The **View: Toggle Locked Scrolling Across Editors** command synchronizes scrolling across all visible editors.
Activity Bar at bottom?,Change the `workbench.activityBar.location` setting to `bottom` to move the Activity Bar to the bottom.
Search Editor single-click?,Configure the `search.searchEditor.singleClickBehaviour` setting to determine what happens when you single-click on a Search Editor entry.
Quick Search sticky file paths?,"In Quick Search, file name separators are now sticky to make it clearer which file a search result is associated with."
Refactor Preview keybinding?,The keybinding for previewing edits for the Rename Symbols refactoring is now `kb(refactorPreview.apply)` (previously `Shift + Enter`).
Diff editor gutter?,"The diff editor now has a separate gutter for Stage and Revert controls, which can be used to stage or revert selected changes."
Incoming changes file decorations?,File decorations for incoming changes are now shown in the Source Control section for files that have incoming changes and which were fetched but not yet merged/rebased.
Shell integration in debug terminals?,Shell integration is now automatically enabled in terminals that are launched when debugging.
Open detected link improvements?,The Open detected link command now previews the link result in the editor and highlights the link source in the terminal.
Test Coverage API?,The Test Coverage API is a new feature that brings native coverage support to VS Code. It allows developers to get coverage if their testing system supports it.
Run With Coverage button?,The Run With Coverage button is a new feature that lets developers run tests with coverage in the Test explorer view.
Keybindings for running with coverage?,"There are new keybindings for running with coverage, such as `kbstyle(Ctrl+; Ctrl+Shift+A)` to run all tests with coverage, and `kbstyle(Ctrl+; Ctrl+Shift+L)` to run the last set of tests with coverage."
TypeScript 5.4?,"VS Code now includes TypeScript 5.4, which brings new improvements to type-checking and IntelliSense, as well as several bug fixes."
